text, lemma_, pos_, tag_, dep_, is_alpha, is_stop, isOov, count, samples
all,all,DET,DT,det,True,False,False,6,[u'batch job all-statistics', u'batch job all-statistics show']
code,code,NOUN,NN,dobj,True,False,False,2,[u'iot hub certificate generate-verification-code', u'iot dps certificate generate-verification-code']
revoke,revoke,VERB,VBN,ROOT,True,False,False,5,[u'network vnet-gateway revoked-cert delete', u'network vnet-gateway revoked-cert']
datum,datum,NOUN,NNS,compound,True,False,False,8,[u'dla catalog external-data-source list', u'dla catalog external-data-source show']
manager,manager,NOUN,NN,compound,True,False,False,15,[u'network traffic-manager endpoint list', u'network traffic-manager profile update']
generalize,generalize,VERB,VB,ROOT,True,False,False,1,[u'vm generalize']
query,query,NOUN,NN,ROOT,True,False,False,2,[u'storage entity query', u'network watcher connection-monitor query']
disk,disk,NOUN,NN,nsubj,True,False,False,20,[u'vm unmanaged-disk attach', u'vmss disk']
ptr,ptr,NOUN,NN,nsubj,True,False,False,8,[u'network dns record-set ptr create', u'network dns record-set ptr update']
issuer,issuer,NOUN,NN,ROOT,True,False,False,10,[u'keyvault certificate issuer', u'keyvault certificate issuer admin list']
zone,zone,NOUN,NN,compound,True,False,False,8,[u'network dns zone import', u'network dns zone show']
peering,peering,NOUN,NN,amod,True,False,False,2,[u'network vnet peering list', u'network express-route peering list']
send,send,VERB,VBP,ccomp,True,False,False,1,[u'iot device message send']
recurrence,recurrence,NOUN,NN,compound,True,False,False,3,[u'dla job recurrence show', u'dla job recurrence']
tail,tail,NOUN,NN,ROOT,True,False,False,1,[u'webapp log tail']
swap,swap,NOUN,NN,ROOT,True,False,False,2,[u'webapp deployment slot auto-swap', u'webapp deployment slot swap']
string,string,NOUN,NN,dobj,True,False,False,9,[u'iot hub show-connection-string', u'webapp config connection-string list']
webhook,webhook,NOUN,NN,compound,True,False,False,9,[u'acr webhook show', u'acr webhook get-config']
replication,replication,NOUN,NN,nsubj,True,False,False,6,[u'acr replication delete', u'acr replication show']
list,list,NOUN,NN,ROOT,True,False,False,400,[u'vmss list', u'monitor autoscale profile list-timezones']
upload,upload,NOUN,NN,ROOT,True,False,False,8,[u'storage blob upload-batch', u'dls fs upload']
item,item,NOUN,NN,nsubj,True,False,False,5,[u'backup item set-policy', u'backup policy list-associated-items']
mount,mount,NOUN,NN,compound,True,False,False,1,[u'backup restore files mount-rp']
force,force,NOUN,NN,nsubj,True,False,False,1,[u'redis force-reboot']
dco,dco,NOUN,NNS,nsubj,True,False,True,3,[u'acs dcos install-cli', u'acs dcos browse']
sync,sync,NOUN,NN,dobj,True,False,False,3,[u'functionapp deployment source sync', u'webapp deployment source sync']
budget,budget,NOUN,NN,compound,True,False,False,5,[u'consumption budget show', u'consumption budget list']
eventhub,eventhub,NOUN,NNS,ROOT,True,False,False,72,[u'eventhubs eventhub authorization-rule keys list', u'eventhubs eventhub authorization-rule keys list']
download,download,NOUN,NN,ROOT,True,False,False,13,[u'batch task file download', u'keyvault secret download']
run,run,NOUN,NN,amod,True,False,False,5,[u'vm run-command invoke', u'vm run-command show']
port,port,NOUN,NN,compound,True,False,False,7,[u'network application-gateway frontend-port list', u'vm open-port']
append,append,VERB,VB,ROOT,True,False,False,1,[u'dls fs append']
resume,resume,VERB,VBP,ROOT,True,False,False,1,[u'sql dw resume']
find,find,VERB,VB,ROOT,True,False,False,1,[u'find']
access,access,NOUN,NN,compound,True,False,False,19,[u'dls fs access show', u'dls fs access set-permission']
experiment,experiment,NOUN,NN,compound,True,False,False,5,[u'batchai experiment show', u'batchai experiment list']
template,template,NOUN,NN,compound,True,False,False,4,[u'lab arm-template show', u'monitor autoscale-settings get-parameters-template']
public,public,ADJ,JJ,amod,True,False,False,7,[u'network public-ip show', u'network public-ip create']
metadata,metadata,NOUN,NN,compound,True,False,False,18,[u'storage queue metadata update', u'storage share metadata show']
slot,slot,NOUN,NN,compound,True,False,False,6,[u'webapp deployment slot auto-swap', u'webapp deployment slot delete']
redeploy,redeploy,NOUN,NN,ROOT,True,False,False,1,[u'vm redeploy']
protection,protection,NOUN,NN,ROOT,True,False,False,11,[u'backup protection', u'network ddos-protection show']
logout,logout,ADJ,JJ,ROOT,True,False,False,1,[u'logout']
address,address,NOUN,NN,dobj,True,False,False,16,[u'network vnet check-ip-address', u'network lb address-pool delete']
path,path,NOUN,NN,compound,True,False,False,10,[u'network application-gateway url-path-map show', u'network application-gateway url-path-map rule delete']
change,change,NOUN,NN,ROOT,True,False,False,3,[u'storage blob lease change', u'cosmosdb failover-priority-change']
wait,wait,VERB,VBP,ROOT,True,False,False,17,[u'group deployment wait', u'network express-route wait']
publisher,publisher,NOUN,NNS,ROOT,True,False,False,1,[u'vm image list-publishers']
convert,convert,NOUN,NN,ROOT,True,False,False,2,[u'vm convert', u'vm availability-set convert']
aks,aks,X,XX,ROOT,True,False,False,7,[u'aks', u'aks browse']
queue,queue,NOUN,NN,nmod,True,False,False,31,[u'storage queue metadata update', u'servicebus queue authorization-rule update']
cert,cert,NOUN,NN,dobj,True,False,False,18,[u'network vnet-gateway revoked-cert delete', u'network vnet-gateway revoked-cert']
action,action,NOUN,NN,compound,True,False,False,11,[u'monitor action-group delete', u'resource invoke-action']
pause,pause,NOUN,NN,ROOT,True,False,False,1,[u'sql dw pause']
app,app,NOUN,NN,ROOT,True,False,False,6,[u'ad app', u'ad app update']
replace,replace,NOUN,NN,ROOT,True,False,False,1,[u'storage entity replace']
apply,apply,VERB,VB,ROOT,True,False,False,1,[u'lab vm apply-artifacts']
redi,redi,NOUN,NNS,compound,True,False,False,7,[u'redis import', u'redis list-keys']
txt,txt,NOUN,NN,nsubj,True,False,False,8,[u'network dns record-set txt create', u'network dns record-set txt add-record']
gateway,gateway,NOUN,NN,nsubj,True,False,False,117,[u'network vnet-gateway create', u'network vnet-gateway revoked-cert delete']
cloud,cloud,NOUN,NN,compound,True,False,False,8,[u'cloud unregister', u'cloud list']
environment,environment,NOUN,NN,nsubj,True,False,False,5,[u'lab environment create', u'lab environment delete']
use,use,NOUN,NN,ROOT,True,False,False,1,[u'aks use-dev-spaces']
consumption,consumption,NOUN,NN,compound,True,False,False,18,[u'consumption budget show', u'consumption reservation detail']
browse,browse,NOUN,NN,ROOT,True,False,False,5,[u'aks browse', u'acs kubernetes browse']
next,next,ADJ,JJ,amod,True,False,False,1,[u'network watcher show-next-hop']
connector,connector,NOUN,NN,dobj,True,False,False,3,[u'aks upgrade-connector', u'aks install-connector']
asset,asset,NOUN,NN,nsubj,True,False,False,7,[u'ams asset delete', u'ams asset create']
dns,dns,NOUN,NN,amod,True,False,False,92,[u'network dns record-set ptr create', u'network dns record-set cname create']
attribute,attribute,NOUN,NNS,ROOT,True,False,False,3,[u'keyvault certificate set-attributes', u'keyvault key set-attributes']
scope,scope,NOUN,NN,ROOT,True,False,False,3,[u'monitor activity-log alert scope', u'monitor activity-log alert scope add']
preview,preview,NOUN,NN,ROOT,True,False,False,1,[u'dls fs preview']
type,type,NOUN,NN,compound,True,False,False,12,[u'eventgrid topic-type show', u'sf cluster node-type add']
prep,prep,NOUN,NN,compound,True,False,True,2,[u'batch job prep-release-status', u'batch job prep-release-status list']
authorization,authorization,NOUN,NN,compound,True,False,False,55,[u'servicebus topic authorization-rule create', u'servicebus namespace authorization-rule keys']
appsetting,appsetting,NOUN,NNS,nsubj,True,False,True,8,[u'functionapp config appsettings set', u'webapp config appsettings delete']
accept,accept,VERB,VB,ROOT,True,False,False,1,[u'vm image accept-terms']
recoverypoint,recoverypoint,NOUN,NN,compound,True,False,True,3,[u'backup recoverypoint list', u'backup recoverypoint']
vpn,vpn,NOUN,NN,compound,True,False,False,17,[u'network vpn-connection show', u'network vpn-connection update']
resize,resize,VERB,VB,ROOT,True,False,False,5,[u'vm resize', u'vm list-vm-resize-options']
subscription,subscription,NOUN,NN,compound,True,False,False,21,[u'servicebus topic subscription rule update', u'eventgrid event-subscription show']
aaaa,aaaa,INTJ,UH,compound,True,False,False,8,[u'network dns record-set aaaa remove-record', u'network dns record-set aaaa delete']
account,account,NOUN,NN,compound,True,False,False,132,[u'account show', u'dla account blob-storage delete']
endpoint,endpoint,NOUN,NN,compound,True,False,False,23,[u'cdn endpoint list', u'cdn endpoint start']
join,join,VERB,VB,ROOT,True,False,False,1,[u'dls fs join']
mi,mi,PRON,PRP,nsubj,True,False,False,6,[u'sql mi delete', u'sql mi create']
dev,dev,NOUN,NN,compound,True,False,False,2,[u'aks remove-dev-spaces', u'aks use-dev-spaces']
purge,purge,NOUN,NN,ROOT,True,False,False,5,[u'keyvault secret purge', u'keyvault purge']
incremental,incremental,ADJ,JJ,amod,True,False,False,3,[u'storage blob incremental-copy start', u'storage blob incremental-copy']
install,install,VERB,VB,ROOT,True,False,False,4,[u'acs dcos install-cli', u'aks install-cli']
learn,learn,VERB,VBD,ROOT,True,False,False,1,[u'network vnet-gateway list-learned-routes']
abandon,abandon,VERB,VB,ccomp,True,False,False,1,[u'iot device message abandon']
caa,caa,NOUN,NN,compound,True,False,False,8,[u'network dns record-set caa list', u'network dns record-set caa update']
root,root,NOUN,NN,compound,True,False,True,3,[u'network vnet-gateway root-cert delete', u'network vnet-gateway root-cert create']
mx,mx,PROPN,NNP,compound,True,False,False,8,[u'network dns record-set mx remove-record', u'network dns record-set mx update']
history,history,NOUN,NN,ROOT,True,False,False,1,[u'reservations reservation list-history']
claim,claim,NOUN,NN,ROOT,True,False,False,1,[u'lab vm claim']
stream,stream,NOUN,NN,ROOT,True,False,False,1,[u'batchai job file stream']
lock,lock,NOUN,NN,compound,True,False,False,24,[u'lock list', u'resource lock delete']
share,share,NOUN,NN,compound,True,False,False,23,[u'storage share snapshot', u'storage share policy show']
agent,agent,NOUN,NN,compound,True,False,True,2,[u'batch pool node-agent-skus', u'batch pool node-agent-skus list']
autostorage,autostorage,NOUN,NN,compound,True,False,True,2,[u'batch account autostorage-keys sync', u'batch account autostorage-keys']
topic,topic,NOUN,NN,compound,True,False,False,40,[u'servicebus topic authorization-rule create', u'servicebus topic subscription rule update']
tag,tag,NOUN,NN,nsubj,True,False,False,8,[u'tag delete', u'tag create']
scheduling,scheduling,NOUN,NN,nsubj,True,False,False,3,[u'batch node scheduling enable', u'batch node scheduling disable']
bgp,bgp,NOUN,NN,compound,True,False,False,1,[u'network vnet-gateway list-bgp-peer-status']
https,https,NOUN,NN,dobj,True,False,False,2,[u'cdn custom-domain enable-https', u'cdn custom-domain disable-https']
verify,verify,VERB,VB,dobj,True,False,False,2,[u'iot dps certificate verify', u'iot hub certificate verify']
get,get,NOUN,NN,ROOT,True,False,False,24,[u'ams streaming locator get-paths', u'ad group get-member-groups']
namespace,namespace,NOUN,NN,nsubj,True,False,False,32,[u'servicebus namespace show', u'servicebus namespace authorization-rule keys']
feature,feature,VERB,VB,ROOT,True,False,False,4,[u'feature', u'feature show']
trusted,trusted,ADJ,JJ,amod,True,False,False,6,[u'dls account trusted-provider list', u'dls account trusted-provider show']
hop,hop,NOUN,NN,dobj,True,False,False,1,[u'network watcher show-next-hop']
reject,reject,VERB,VBP,ccomp,True,False,False,1,[u'iot device message reject']
config,config,NOUN,NN,compound,True,False,False,81,[u'webapp config backup list', u'network application-gateway waf-config set']
profile,profile,NOUN,NN,compound,True,False,False,29,[u'monitor autoscale profile list-timezones', u'cdn profile create']
credential,credential,NOUN,NN,compound,True,False,False,16,[u'ad sp credential list', u'ad sp credential reset']
fs,fs,INTJ,UH,nsubj,True,False,False,22,[u'dls fs join', u'dls fs show']
stop,stop,NOUN,NN,dobj,True,False,False,15,[u'network watcher packet-capture stop', u'dms stop']
lab,lab,NOUN,NN,compound,True,False,False,45,[u'lab artifact', u'lab secret']
rbac,rbac,NOUN,NN,pobj,True,False,True,1,[u'ad sp create-for-rbac']
connectivity,connectivity,NOUN,NN,ROOT,True,False,False,1,[u'network watcher test-connectivity']
catalog,catalog,NOUN,NN,compound,True,False,False,45,[u'dla catalog tvf', u'reservations catalog']
disable,disable,ADJ,JJ,ROOT,True,False,False,10,[u'advisor recommendation disable', u'batch node scheduling disable']
tier,tier,NOUN,NN,ROOT,True,False,False,1,[u'storage blob set-tier']
summarize,summarize,VERB,VBP,ROOT,True,False,False,1,[u'policy state summarize']
a,a,DET,DT,det,True,False,False,8,[u'network dns record-set a list', u'network dns record-set a show']
effective,effective,ADJ,JJ,amod,True,False,False,2,[u'network nic list-effective-nsg', u'network nic show-effective-route-table']
os,os,ADP,IN,prep,True,False,False,1,[u'batch pool os upgrade']
failover,failover,NOUN,NN,compound,True,False,False,1,[u'cosmosdb failover-priority-change']
register,register,NOUN,NN,ROOT,True,False,False,3,[u'provider register', u'feature register']
alias,alias,NOUN,NN,compound,True,False,False,32,[u'servicebus georecovery-alias authorization-rule list', u'sql server dns-alias']
geographic,geographic,ADJ,JJ,amod,True,False,False,1,[u'network traffic-manager endpoint show-geographic-hierarchy']
order,order,NOUN,NN,compound,True,False,False,5,[u'reservations reservation-order list', u'reservations reservation-order']
frontend,frontend,NOUN,NN,compound,True,False,False,18,[u'network lb frontend-ip update', u'network application-gateway frontend-port list']
feedback,feedback,NOUN,NN,ROOT,True,False,False,1,[u'feedback']
hierarchy,hierarchy,NOUN,NN,dobj,True,False,False,1,[u'network traffic-manager endpoint show-geographic-hierarchy']
ping,ping,NOUN,NN,ROOT,True,False,False,1,[u'acr webhook ping']
over,over,ADP,IN,prep,True,False,False,2,[u'servicebus georecovery-alias fail-over', u'eventhubs georecovery-alias fail-over']
move,move,NOUN,NN,ROOT,True,False,False,2,[u'resource move', u'dls fs move']
entity,entity,NOUN,NN,nsubj,True,False,False,7,[u'storage entity show', u'storage entity replace']
lb,lb,ADP,IN,compound,True,False,False,41,[u'network lb address-pool delete', u'network lb frontend-ip update']
monitor,monitor,VERB,VB,ROOT,True,False,False,81,[u'monitor autoscale profile list-timezones', u'monitor action-group delete']
late,late,ADJ,JJS,acomp,True,False,False,1,[u'vmss rolling-upgrade get-latest']
pend,pend,VERB,VBG,prep,True,False,False,4,[u'keyvault certificate pending delete', u'keyvault certificate pending merge']
restart,restart,NOUN,NN,ROOT,True,False,False,4,[u'vm restart', u'functionapp restart']
policy,policy,NOUN,NN,compound,True,False,False,103,[u'policy event list', u'policy state list']
auto,auto,NOUN,NN,compound,True,False,False,2,[u'webapp deployment slot auto-swap', u'batchai cluster auto-scale']
auth,auth,NOUN,NN,compound,True,False,False,14,[u'webapp auth show', u'network application-gateway auth-cert show']
break,break,NOUN,NN,ROOT,True,False,False,4,[u'eventhubs georecovery-alias break-pair', u'servicebus georecovery-alias break-pair']
subtask,subtask,NOUN,NN,ROOT,True,False,False,2,[u'batch task subtask', u'batch task subtask list']
dps,dps,NOUN,NN,ROOT,True,False,False,24,[u'iot dps update', u'iot dps linked-hub delete']
now,now,ADV,RB,advmod,True,False,False,1,[u'backup protection backup-now']
term,term,NOUN,NNS,dobj,True,False,False,1,[u'vm image accept-terms']
name,name,NOUN,NN,dobj,True,False,False,9,[u'dms project check-name', u'cosmosdb check-name-exists']
locator,locator,NOUN,NN,dobj,True,False,False,6,[u'ams streaming locator get-paths', u'ams streaming locator delete']
unregister,unregister,VERB,VB,ROOT,True,False,False,2,[u'cloud unregister', u'provider unregister']
parameter,parameter,NOUN,NNS,compound,True,False,False,1,[u'monitor autoscale-settings get-parameters-template']
functionapp,functionapp,ADJ,JJ,compound,True,False,True,42,[u'functionapp config ssl delete', u'functionapp identity show']
merge,merge,NOUN,NN,ROOT,True,False,False,3,[u'keyvault certificate pending merge', u'storage entity merge']
token,token,NOUN,NN,ROOT,True,False,False,3,[u'webapp deployment source update-token', u'account get-access-token']
domain,domain,NOUN,NN,nsubj,True,False,False,8,[u'cdn custom-domain delete', u'cdn custom-domain enable-https']
activate,activate,VERB,VB,ROOT,True,False,False,1,[u'batch application package activate']
map,map,NOUN,NN,compound,True,False,False,19,[u'network application-gateway url-path-map show', u'network application-gateway url-path-map rule delete']
operation,operation,NOUN,NN,ROOT,True,False,False,7,[u'group deployment operation', u'provider operation']
summary,summary,NOUN,NN,compound,True,False,False,5,[u'consumption reservation summary list', u'batch application summary']
event,event,NOUN,NN,compound,True,False,False,10,[u'policy event list', u'eventgrid event-subscription show']
predefined,predefined,ADJ,JJ,amod,True,False,False,2,[u'network application-gateway ssl-policy predefined show', u'network application-gateway ssl-policy predefined list']
subnet,subnet,NOUN,NN,ROOT,True,False,False,6,[u'network vnet subnet', u'network vnet subnet create']
rp,rp,X,XX,appos,True,False,False,2,[u'backup restore files unmount-rp', u'backup restore files mount-rp']
network,network,NOUN,NN,compound,True,False,False,424,[u'network vnet check-ip-address', u'network lb address-pool delete']
space,space,NOUN,NNS,dobj,True,False,False,2,[u'aks remove-dev-spaces', u'aks use-dev-spaces']
reboot,reboot,NOUN,NN,ROOT,True,False,False,2,[u'batch node reboot', u'redis force-reboot']
publish,publish,VERB,VBG,compound,True,False,False,2,[u'webapp deployment list-publishing-profiles', u'functionapp deployment list-publishing-profiles']
method,method,NOUN,NN,ROOT,True,False,False,1,[u'redis import-method']
health,health,NOUN,NN,ROOT,True,False,False,1,[u'network application-gateway show-backend-health']
nic,nic,ADJ,JJ,compound,True,False,False,31,[u'vmss nic list-vm-nics', u'vmss nic list-vm-nics']
formula,formula,NOUN,NN,nsubj,True,False,False,5,[u'lab formula delete', u'lab formula export-artifacts']
iot,iot,NOUN,NN,ROOT,True,False,False,74,[u'iot device message complete', u'iot dps update']
associate,associate,VERB,VBN,ROOT,True,False,False,1,[u'backup policy list-associated-items']
diagnostic,diagnostic,NOUN,NNS,dobj,True,False,False,19,[u'vmss diagnostics', u'monitor diagnostic-settings categories']
asg,asg,NOUN,NN,compound,True,False,False,6,[u'network asg list', u'network asg show']
collection,collection,NOUN,NN,compound,True,False,False,7,[u'cosmosdb collection update', u'cosmosdb collection delete']
advisor,advisor,NOUN,NN,compound,True,False,False,9,[u'advisor configuration update', u'advisor recommendation disable']
put,put,VERB,VBD,ROOT,True,False,False,1,[u'storage message put']
vmss,vmss,NOUN,NN,compound,True,False,True,53,[u'vmss list', u'vmss list-skus']
kubernete,kubernete,NOUN,NNS,nsubj,True,False,True,4,[u'acs kubernetes browse', u'acs kubernetes']
generate,generate,VERB,VBP,ROOT,True,False,False,10,[u'storage table generate-sas', u'storage file generate-sas']
log,log,NOUN,NN,compound,True,False,False,40,[u'monitor activity-log alert action-group remove', u'monitor activity-log list-categories']
definition,definition,NOUN,NN,compound,True,False,False,23,[u'managedapp definition show', u'policy definition']
managedapp,managedapp,NOUN,NN,compound,True,False,True,10,[u'managedapp definition show', u'managedapp definition list']
logging,logging,NOUN,NN,compound,True,False,False,3,[u'storage logging show', u'storage logging']
reactivate,reactivate,VERB,VBP,ROOT,True,False,False,1,[u'batch task reactivate']
route,route,NOUN,NN,dobj,True,False,False,57,[u'network express-route peering', u'network express-route wait']
midb,midb,NOUN,NN,nsubj,True,False,True,6,[u'sql midb delete', u'sql midb list']
filter,filter,NOUN,NN,compound,True,False,False,13,[u'network route-filter rule', u'network route-filter list']
renew,renew,NOUN,NN,ROOT,True,False,False,11,[u'storage blob lease renew', u'storage account keys renew']
cname,cname,NOUN,NN,nsubj,True,False,False,7,[u'network dns record-set cname create', u'network dns record-set cname set-record']
threat,threat,NOUN,NN,compound,True,False,False,3,[u'sql db threat-policy update', u'sql db threat-policy']
assign,assign,VERB,VBP,ROOT,True,False,False,4,[u'functionapp identity assign', u'vmss identity assign']
origin,origin,NOUN,NN,compound,True,False,False,3,[u'cdn origin show', u'cdn origin']
info,info,NOUN,NN,dobj,True,False,False,1,[u'vmss list-instance-connection-info']
primary,primary,NOUN,NN,dobj,True,False,False,1,[u'sql db replica set-primary']
owner,owner,NOUN,NN,ROOT,True,False,False,1,[u'dls fs access set-owner']
message,message,NOUN,NN,dobj,True,False,False,13,[u'iot device message complete', u'iot device message']
servicebus,servicebus,ADJ,JJ,amod,True,False,True,72,[u'servicebus topic authorization-rule create', u'servicebus namespace show']
open,open,ADJ,JJ,amod,True,False,False,1,[u'vm open-port']
predefin,predefin,VERB,VBD,ROOT,True,False,False,1,[u'network application-gateway ssl-policy predefined']
size,size,NOUN,NNS,ROOT,True,False,False,2,[u'vm list-sizes', u'vm availability-set list-sizes']
management,management,NOUN,NN,compound,True,False,False,9,[u'account management-group subscription add', u'account management-group create']
service,service,NOUN,NN,compound,True,False,False,10,[u'storage blob service-properties delete-policy update', u'network vnet list-endpoint-services']
priority,priority,NOUN,NN,compound,True,False,False,1,[u'cosmosdb failover-priority-change']
attach,attach,VERB,VBP,ROOT,True,False,False,4,[u'vm unmanaged-disk attach', u'vmss disk attach']
store,store,NOUN,NN,compound,True,False,False,5,[u'dla account data-lake-store list', u'dla account data-lake-store add']
lease,lease,NOUN,NN,compound,True,False,False,12,[u'storage container lease release', u'storage container lease']
option,option,NOUN,NNS,ROOT,True,False,False,2,[u'network application-gateway ssl-policy list-options', u'vm list-vm-resize-options']
hub,hub,NOUN,NN,dobj,True,False,False,38,[u'iot dps linked-hub delete', u'iot hub show-connection-string']
acquire,acquire,NOUN,NN,ROOT,True,False,False,2,[u'storage container lease acquire', u'storage blob lease acquire']
artifact,artifact,NOUN,NN,ROOT,True,False,False,7,[u'lab artifact', u'lab artifact-source']
cosmosdb,cosmosdb,ADJ,JJ,ROOT,True,False,True,25,[u'cosmosdb collection update', u'cosmosdb list-keys']
copy,copy,NOUN,NN,nsubj,True,False,False,13,[u'storage file copy start', u'storage blob copy start']
cli,cli,NOUN,NN,dobj,True,False,False,3,[u'acs dcos install-cli', u'aks install-cli']
project,project,NOUN,NN,compound,True,False,False,13,[u'dms project task show', u'dms project']
bind,bind,NOUN,NN,dobj,True,False,False,2,[u'webapp config ssl bind', u'functionapp config ssl bind']
schema,schema,NOUN,NN,ROOT,True,False,False,3,[u'dla catalog schema', u'dla catalog schema list']
interactive,interactive,ADJ,JJ,ROOT,True,False,False,1,[u'interactive']
sp,sp,PRON,PRP,nsubj,True,False,False,13,[u'ams account sp create', u'ad sp credential list']
container,container,NOUN,NN,compound,True,False,False,43,[u'storage container policy list', u'storage container show-permission']
sas,sas,PROPN,NNP,dobj,True,False,False,8,[u'storage table generate-sas', u'storage file generate-sas']
recover,recover,VERB,VBP,ROOT,True,False,False,4,[u'keyvault secret recover', u'keyvault key recover']
configure,configure,VERB,VBP,ROOT,True,False,False,3,[u'network watcher configure', u'network watcher flow-log configure']
contact,contact,NOUN,NN,nsubj,True,False,False,4,[u'keyvault certificate contact delete', u'keyvault certificate contact add']
instance,instance,NOUN,NNS,dobj,True,False,False,7,[u'vmss delete-instances', u'vmss list-instances']
client,client,NOUN,NN,ROOT,True,False,False,6,[u'network vnet-gateway vpn-client', u'network vnet-gateway vpn-client show-url']
build,build,NOUN,NN,ROOT,True,False,False,13,[u'acr build-task', u'acr build-task list-builds']
exec,exec,NOUN,NNS,ROOT,True,False,False,3,[u'batchai job node exec', u'container exec']
quota,quota,NOUN,NNS,compound,True,False,False,3,[u'batch location quotas show', u'batch location quotas']
plan,plan,NOUN,NN,ROOT,True,False,False,6,[u'appservice plan', u'appservice plan create']
pair,pair,NOUN,NN,dobj,True,False,False,2,[u'eventhubs georecovery-alias break-pair', u'servicebus georecovery-alias break-pair']
gallery,gallery,NOUN,NN,compound,True,False,False,2,[u'lab gallery-image list', u'lab gallery-image']
appservice,appservice,NOUN,NN,compound,True,False,True,8,[u'appservice plan', u'appservice plan create']
