text, lemma_, pos_, tag_, dep_, is_alpha, is_stop, isOov, count, samples
url,url,ADJ,JJ,compound,True,False,False,14,[u'network application-gateway url-path-map show', u'network application-gateway url-path-map rule delete']
clear,clear,ADJ,JJ,advmod,True,False,False,5,[u'account clear', u'storage cors clear']
partition,partition,NOUN,NN,compound,True,False,False,3,[u'dla catalog table-partition list', u'dla catalog table-partition show']
flow,flow,NOUN,NN,nsubj,True,False,False,4,[u'network watcher flow-log', u'network watcher flow-log show']
postgre,postgre,NOUN,NNS,compound,True,False,False,28,[u'postgres server configuration show', u'postgres']
vnet,vnet,NOUN,NN,compound,True,False,False,49,[u'network vnet check-ip-address', u'network vnet-gateway create']
snapshot,snapshot,NOUN,NN,ROOT,True,False,False,10,[u'storage share snapshot', u'snapshot show']
workspace,workspace,NOUN,NN,compound,True,False,False,5,[u'batchai workspace show', u'batchai workspace list']
sf,sf,NOUN,NN,amod,True,False,False,28,[u'sf cluster certificate', u'sf cluster']
consumer,consumer,NOUN,NN,compound,True,False,False,11,[u'iot hub consumer-group show', u'iot hub consumer-group']
show,show,NOUN,NN,compound,True,False,False,335,[u'acr show-usage', u'network public-ip show']
cdn,cdn,X,FW,compound,True,False,False,33,[u'cdn profile create', u'cdn endpoint list']
probe,probe,NOUN,NN,ROOT,True,False,False,12,[u'network application-gateway probe', u'network lb probe update']
terminate,terminate,VERB,VBP,ROOT,True,False,False,1,[u'batchai job terminate']
unmanaged,unmanaged,ADJ,JJ,amod,True,False,False,4,[u'vm unmanaged-disk attach', u'vm unmanaged-disk list']
dbs,dbs,NOUN,NN,ROOT,True,False,False,1,[u'sql elastic-pool list-dbs']
availability,availability,NOUN,NN,nsubj,True,False,False,8,[u'vm availability-set', u'vm availability-set list']
redirect,redirect,VERB,VB,ROOT,True,False,False,6,[u'network application-gateway redirect-config list', u'network application-gateway redirect-config']
upgrade,upgrade,NOUN,NN,compound,True,False,False,10,[u'vmss rolling-upgrade cancel', u'aks upgrade-connector']
georestore,georestore,ADJ,JJ,ROOT,True,False,True,2,[u'postgres server georestore', u'mysql server georestore']
only,only,ADV,RB,advmod,True,False,False,1,[u'cosmosdb list-read-only-keys']
version,version,NOUN,NNS,dobj,True,False,False,6,[u'keyvault key list-versions', u'keyvault secret list-versions']
local,local,ADJ,JJ,amod,True,False,False,9,[u'network local-gateway wait', u'network local-gateway update']
count,count,NOUN,NNS,compound,True,False,False,4,[u'batch pool node-counts list', u'batch job task-counts']
invoke,invoke,VERB,VB,ROOT,True,False,False,2,[u'resource invoke-action', u'vm run-command invoke']
permission,permission,NOUN,NN,ROOT,True,False,False,3,[u'storage container show-permission', u'dls fs access set-permission']
express,express,VERB,VBP,ROOT,True,False,False,22,[u'network express-route peering', u'network express-route wait']
db,db,NOUN,NN,compound,True,False,False,43,[u'sql db op list', u'mysql db show']
listener,listener,NOUN,NN,compound,True,False,False,6,[u'network application-gateway http-listener list', u'network application-gateway http-listener']
ssl,ssl,NOUN,NN,amod,True,False,False,25,[u'network application-gateway ssl-policy predefined show', u'network application-gateway ssl-cert delete']
ssh,ssh,NOUN,NN,dobj,True,False,False,1,[u'vm user reset-ssh']
dw,dw,PROPN,NNP,ROOT,True,False,False,8,[u'sql dw', u'sql dw update']
dp,dp,VERB,MD,ROOT,True,False,False,2,[u'iot dps delete', u'iot dps create']
resource,resource,NOUN,NN,nsubj,True,False,False,21,[u'resource invoke-action', u'resource lock delete']
remove,remove,NOUN,NN,ROOT,True,False,False,33,[u'vm secret remove', u'monitor activity-log alert action-group remove']
patch,patch,VERB,VB,compound,True,False,False,8,[u'redis patch-schedule patch-schedule show', u'redis patch-schedule patch-schedule show']
activity,activity,NOUN,NN,compound,True,False,False,16,[u'monitor activity-log alert action-group remove', u'monitor activity-log list-categories']
release,release,NOUN,NN,ROOT,True,False,False,4,[u'storage container lease release', u'storage blob lease release']
view,view,NOUN,NN,compound,True,False,False,6,[u'dla catalog view show', u'dla catalog view list']
arp,arp,NOUN,NN,compound,True,False,False,1,[u'network express-route list-arp-tables']
set,set,VERB,VBN,amod,True,False,False,144,[u'network dns record-set ptr create', u'vm availability-set']
packet,packet,NOUN,NN,compound,True,False,False,7,[u'network watcher packet-capture stop', u'network watcher packet-capture']
edition,edition,NOUN,NNS,ROOT,True,False,False,2,[u'sql elastic-pool list-editions', u'sql db list-editions']
fail,fail,VERB,VBP,ROOT,True,False,False,2,[u'servicebus georecovery-alias fail-over', u'eventhubs georecovery-alias fail-over']
arm,arm,NOUN,NN,compound,True,False,False,3,[u'lab arm-template show', u'lab arm-template list']
dla,dla,NOUN,NN,compound,True,False,False,85,[u'dla account blob-storage delete', u'dla account firewall update']
autoscale,autoscale,NOUN,NN,compound,True,False,False,28,[u'monitor autoscale profile list-timezones', u'batch pool autoscale evaluate']
dls,dls,NOUN,NN,compound,True,False,False,42,[u'dls fs join', u'dls fs show']
state,state,NOUN,NN,compound,True,False,False,3,[u'policy state list', u'policy state']
routing,routing,NOUN,NN,compound,True,False,False,4,[u'webapp traffic-routing show', u'webapp traffic-routing set']
import,import,NOUN,NN,ROOT,True,False,False,8,[u'network dns zone import', u'keyvault key import']
available,available,ADJ,JJ,ROOT,True,False,False,1,[u'extension list-available']
pricesheet,pricesheet,NOUN,NN,ROOT,True,False,True,2,[u'consumption pricesheet', u'consumption pricesheet show']
incident,incident,NOUN,NNS,dobj,True,False,False,2,[u'monitor alert list-incidents', u'monitor alert show-incident']
key,key,NOUN,NNS,ROOT,True,False,False,68,[u'servicebus namespace authorization-rule keys', u'eventhubs eventhub authorization-rule keys list']
group,group,NOUN,NN,compound,True,False,False,69,[u'group deployment wait', u'monitor action-group delete']
configuration,configuration,NOUN,NN,compound,True,False,False,12,[u'postgres server configuration show', u'advisor configuration update']
topology,topology,NOUN,NN,dobj,True,False,False,1,[u'network watcher show-topology']
cor,cor,NOUN,NNS,nsubj,True,False,False,4,[u'storage cors clear', u'storage cors add']
admin,admin,NOUN,NN,nsubj,True,False,False,9,[u'sql server ad-admin create', u'sql server ad-admin']
job,job,NOUN,NN,nsubj,True,False,False,66,[u'batch job create', u'batch job list']
connection,connection,NOUN,NN,compound,True,False,False,32,[u'network vpn-connection show', u'iot hub show-connection-string']
receiver,receiver,NOUN,NN,dobj,True,False,False,1,[u'monitor action-group enable-receiver']
vault,vault,NOUN,NN,compound,True,False,False,9,[u'backup vault show', u'backup vault backup-properties']
login,login,NOUN,NN,compound,True,False,False,5,[u'batch node remote-login-settings', u'batch node remote-login-settings show']
load,load,NOUN,NN,ROOT,True,False,False,1,[u'cdn endpoint load']
firewall,firewall,NOUN,NN,compound,True,False,False,30,[u'dla account firewall update', u'dla account firewall show']
period,period,NOUN,NN,compound,True,False,False,3,[u'billing period list', u'billing period show']
community,community,NOUN,NNS,ROOT,True,False,False,1,[u'network route-filter rule list-service-communities']
cd,cd,NOUN,NN,compound,True,False,False,1,[u'webapp deployment container show-cd-url']
webapp,webapp,X,FW,compound,True,False,False,80,[u'webapp config backup list', u'webapp traffic-routing show']
cancel,cancel,VERB,VB,ROOT,True,False,False,10,[u'sql db op cancel', u'vmss rolling-upgrade cancel']
table,table,NOUN,NN,nsubj,True,False,False,40,[u'storage table generate-sas', u'storage table policy']
backend,backend,NOUN,NN,compound,True,False,False,1,[u'network application-gateway show-backend-health']
-PRON-,-PRON-,PRON,PRP,ROOT,True,False,False,2,[u'reservations reservation-order-id', u'reservations reservation-order-id list']
billing,billing,NOUN,NN,compound,True,False,False,7,[u'billing invoice list', u'billing period list']
regenerate,regenerate,NOUN,NN,dobj,True,False,False,4,[u'eventgrid topic key regenerate', u'cognitiveservices account keys regenerate']
encryption,encryption,NOUN,NN,compound,True,False,False,8,[u'vm encryption show', u'vm encryption']
create,create,NOUN,NN,ROOT,True,False,False,208,[u'batch job create', u'network dns record-set ptr create']
secret,secret,ADJ,JJ,ROOT,True,False,False,24,[u'lab secret', u'vm secret remove']
maintenance,maintenance,NOUN,NN,dobj,True,False,False,2,[u'vmss perform-maintenance', u'vm perform-maintenance']
blob,blob,NOUN,NN,compound,True,False,False,43,[u'storage blob show', u'dla account blob-storage delete']
enable,enable,VERB,VBP,ROOT,True,False,False,12,[u'cdn custom-domain enable-https', u'batch node scheduling enable']
inbound,inbound,ADJ,JJ,amod,True,False,False,15,[u'network lb inbound-nat-rule list', u'network lb inbound-nat-pool']
external,external,ADJ,JJ,amod,True,False,False,5,[u'dla catalog external-data-source list', u'dla catalog external-data-source show']
cognitiveservice,cognitiveservice,NOUN,NNS,compound,True,False,True,11,[u'cognitiveservices account update', u'cognitiveservices list']
enrollment,enrollment,NOUN,NN,compound,True,False,False,3,[u'billing enrollment-account show', u'billing enrollment-account list']
bill,bill,VERB,VBG,compound,True,False,False,3,[u'billing enrollment-account show', u'billing enrollment-account list']
batch,batch,ADJ,JJ,amod,True,False,False,130,[u'batch job create', u'batch certificate']
value,value,NOUN,NN,ROOT,True,False,False,2,[u'tag remove-value', u'tag add-value']
undelete,undelete,ADJ,JJ,amod,True,False,False,1,[u'storage blob undelete']
reliability,reliability,NOUN,NN,compound,True,False,False,2,[u'sf cluster reliability update', u'sf cluster reliability']
property,property,NOUN,NNS,nsubj,True,False,False,8,[u'storage blob service-properties delete-policy update', u'backup vault backup-properties']
procedure,procedure,NOUN,NN,compound,True,False,False,3,[u'dla catalog procedure list', u'dla catalog procedure show']
rename,rename,NOUN,NN,ROOT,True,False,False,1,[u'sql db rename']
would,would,VERB,MD,dep,True,False,False,2,[u'reservations reservation-order-id', u'reservations reservation-order-id list']
ip,ip,NOUN,NN,compound,True,False,False,36,[u'network vnet check-ip-address', u'network public-ip show']
metric,metric,NOUN,NNS,nsubj,True,False,False,9,[u'storage metrics show', u'monitor metrics list-definitions']
vm,vm,PROPN,NNP,compound,True,False,False,104,[u'vm show', u'vm availability-set']
cluster,cluster,NOUN,NN,ROOT,True,False,False,36,[u'batchai cluster', u'sf cluster certificate']
conn,conn,NOUN,NN,compound,True,False,False,3,[u'sql server conn-policy show', u'sql server conn-policy update']
capture,capture,NOUN,NN,ROOT,True,False,False,8,[u'network watcher packet-capture stop', u'network watcher packet-capture']
unmount,unmount,X,XX,compound,True,False,False,1,[u'backup restore files unmount-rp']
grant,grant,NOUN,NN,compound,True,False,False,2,[u'disk grant-access', u'snapshot grant-access']
perform,perform,VERB,VBP,ROOT,True,False,False,2,[u'vmss perform-maintenance', u'vm perform-maintenance']
hostname,hostname,NOUN,NN,nsubj,True,False,False,10,[u'functionapp config hostname add', u'functionapp config hostname delete']
member,member,NOUN,NN,ROOT,True,False,False,6,[u'ad group member', u'ad group get-member-groups']
split,split,VERB,VBD,ROOT,True,False,False,1,[u'reservations reservation split']
status,status,NOUN,NN,dobj,True,False,False,5,[u'dms check-status', u'network vnet-gateway list-bgp-peer-status']
http,http,NOUN,NN,compound,True,False,False,12,[u'network application-gateway http-listener list', u'network application-gateway http-listener']
assignment,assignment,NOUN,NN,compound,True,False,False,10,[u'policy assignment list', u'policy assignment']
keyvault,keyvault,NOUN,NN,compound,True,False,True,71,[u'keyvault list-deleted', u'keyvault certificate show']
alert,alert,NOUN,NN,compound,True,False,False,20,[u'monitor alert update', u'monitor activity-log alert action-group remove']
eventgrid,eventgrid,VERB,VBN,amod,True,False,True,20,[u'eventgrid topic-type show', u'eventgrid event-subscription show']
user,user,NOUN,NN,nsubj,True,False,False,19,[u'batch node user create', u'ad user delete']
validate,validate,VERB,VBP,ROOT,True,False,False,2,[u'cdn endpoint validate-custom-domain', u'group deployment validate']
identity,identity,NOUN,NN,compound,True,False,False,20,[u'functionapp identity show', u'webapp identity show']
audit,audit,NOUN,NN,compound,True,False,False,3,[u'sql db audit-policy', u'sql db audit-policy update']
georecovery,georecovery,NOUN,NN,ROOT,True,False,True,26,[u'servicebus georecovery-alias authorization-rule list', u'servicebus georecovery-alias exists']
task,task,NOUN,NN,compound,True,False,False,34,[u'dms project task show', u'batch task delete']
database,database,NOUN,NN,dobj,True,False,False,9,[u'dla catalog database', u'cosmosdb database create']
edge,edge,NOUN,NN,compound,True,False,False,2,[u'cdn edge-node', u'cdn edge-node list']
command,command,NOUN,NN,nsubj,True,False,False,4,[u'vm run-command invoke', u'vm run-command show']
entry,entry,NOUN,NN,ROOT,True,False,False,2,[u'dls fs access remove-entry', u'dls fs access set-entry']
restore,restore,VERB,VBP,compound,True,False,False,13,[u'backup restore restore-disks', u'backup restore restore-disks']
boot,boot,NOUN,NN,compound,True,False,False,5,[u'vm boot-diagnostics get-boot-log', u'vm boot-diagnostics get-boot-log']
reimage,reimage,NOUN,NN,ROOT,True,False,False,2,[u'batch node reimage', u'vmss reimage']
mysql,mysql,NOUN,NNS,compound,True,False,False,28,[u'mysql db show', u'mysql']
sku,sku,NOUN,NNS,dobj,True,False,False,8,[u'vmss list-skus', u'batch pool node-agent-skus']
detach,detach,NOUN,NN,ROOT,True,False,False,3,[u'vm disk detach', u'vmss disk detach']
lake,lake,NOUN,NN,compound,True,False,False,5,[u'dla account data-lake-store list', u'dla account data-lake-store add']
desktop,desktop,NOUN,NN,ROOT,True,False,False,2,[u'batch node remote-desktop', u'batch node remote-desktop download']
source,source,NOUN,NN,ROOT,True,False,False,22,[u'lab artifact-source', u'webapp deployment source update-token']
add,add,VERB,VB,ROOT,True,False,False,34,[u'sf cluster node-type add', u'extension add']
location,location,NOUN,NNS,dobj,True,False,False,7,[u'functionapp list-consumption-locations', u'account list-locations']
usage,usage,NOUN,NN,ROOT,True,False,False,15,[u'acr show-usage', u'network list-usages']
format,format,NOUN,NN,ROOT,True,False,False,1,[u'vm secret format']
read,read,VERB,VBD,ROOT,True,False,False,1,[u'cosmosdb list-read-only-keys']
evaluate,evaluate,NOUN,NN,ROOT,True,False,False,1,[u'batch pool autoscale evaluate']
traffic,traffic,NOUN,NN,compound,True,False,False,19,[u'webapp traffic-routing show', u'network traffic-manager endpoint list']
deployment,deployment,NOUN,NN,compound,True,False,False,46,[u'webapp deployment slot auto-swap', u'group deployment wait']
ams,ams,DET,DT,ROOT,True,False,False,40,[u'ams asset delete', u'ams account sp create']
ipsec,ipsec,NOUN,NN,compound,True,False,False,4,[u'network vpn-connection ipsec-policy', u'network vpn-connection ipsec-policy list']
insert,insert,NOUN,NN,ROOT,True,False,False,1,[u'storage entity insert']
changelog,changelog,NOUN,NNS,ROOT,True,False,False,1,[u'role assignment list-changelogs']
server,server,NOUN,NN,nmod,True,False,False,90,[u'sql server dns-alias', u'postgres server configuration show']
output,output,NOUN,NN,dobj,True,False,False,3,[u'ams transform output', u'ams transform output remove']
security,security,NOUN,NN,compound,True,False,False,1,[u'network watcher show-security-group-view']
streaming,streaming,NOUN,NN,ROOT,True,False,False,16,[u'ams streaming policy list', u'ams streaming policy']
export,export,NOUN,NN,compound,True,False,False,8,[u'lab formula export-artifacts', u'iot device export']
invoice,invoice,NOUN,NN,compound,True,False,False,3,[u'billing invoice list', u'billing invoice']
recommendation,recommendation,NOUN,NN,nsubj,True,False,False,4,[u'advisor recommendation disable', u'advisor recommendation list']
advertise,advertise,VERB,VBN,ROOT,True,False,False,1,[u'network vnet-gateway list-advertised-routes']
tvf,tvf,NOUN,NN,dobj,True,False,True,3,[u'dla catalog tvf', u'dla catalog tvf show']
scale,scale,NOUN,NN,ROOT,True,False,False,4,[u'vmss scale', u'acs scale']
for,for,ADP,IN,prep,True,False,False,3,[u'backup protection enable-for-vm', u'ad sp create-for-rbac']
redis,redis,X,FW,compound,True,False,False,13,[u'redis patch-schedule patch-schedule show', u'redis patch-schedule show']
provider,provider,NOUN,NN,nsubj,True,False,False,15,[u'provider register', u'provider operation']
deallocate,deallocate,ADJ,JJ,ROOT,True,False,False,2,[u'vm deallocate', u'vmss deallocate']
manifest,manifest,VERB,VBZ,ROOT,True,False,False,1,[u'acr repository show-manifests']
peek,peek,ADJ,JJ,ROOT,True,False,False,1,[u'storage message peek']
assembly,assembly,NOUN,NN,ROOT,True,False,False,3,[u'dla catalog assembly', u'dla catalog assembly show']
repository,repository,NOUN,NN,nsubj,True,False,False,6,[u'acr repository delete', u'acr repository list']
schedule,schedule,NOUN,NN,compound,True,False,False,18,[u'redis patch-schedule patch-schedule show', u'redis patch-schedule patch-schedule show']
tde,tde,PROPN,NNP,ROOT,True,False,False,7,[u'sql server tde-key set', u'sql server tde-key show']
expiry,expiry,NOUN,NN,dobj,True,False,False,2,[u'dls fs remove-expiry', u'dls fs set-expiry']
peer,peer,VERB,VBG,advcl,True,False,False,11,[u'network express-route peering', u'network express-route peering delete']
pipeline,pipeline,NOUN,NN,ROOT,True,False,False,3,[u'dla job pipeline', u'dla job pipeline show']
certificate,certificate,NOUN,NN,ROOT,True,False,False,61,[u'batch certificate', u'sf cluster certificate']
extension,extension,NOUN,NN,compound,True,False,False,27,[u'vmss extension set', u'extension list']
package,package,NOUN,NN,ROOT,True,False,False,8,[u'batch application package', u'dla catalog package show']
o,o,NOUN,NNS,ROOT,True,False,False,1,[u'batch pool os']
acs,acs,X,FW,compound,True,False,False,16,[u'acs kubernetes browse', u'acs list-locations']
acr,acr,NOUN,NN,compound,True,False,False,45,[u'acr replication delete', u'acr show-usage']
srv,srv,PROPN,NNP,compound,True,False,False,8,[u'network dns record-set srv show', u'network dns record-set srv create']
runtime,runtime,NOUN,NNS,ROOT,True,False,False,1,[u'webapp list-runtimes']
backup,backup,NOUN,NN,compound,True,False,False,53,[u'webapp config backup list', u'backup policy list']
op,op,NOUN,NN,compound,True,False,False,6,[u'sql db op list', u'sql db op cancel']
soa,soa,NOUN,NN,compound,True,False,False,3,[u'network dns record-set soa update', u'network dns record-set soa show']
image,image,NOUN,NN,compound,True,False,False,29,[u'vm image list-publishers', u'vm extension image show']
nsg,nsg,NOUN,NN,compound,True,False,True,13,[u'network nsg rule delete', u'network nsg rule create']
device,device,NOUN,NN,compound,True,False,False,15,[u'iot device message complete', u'iot device message']
troubleshooting,troubleshooting,NOUN,NN,ROOT,True,False,False,3,[u'network watcher troubleshooting', u'network watcher troubleshooting show']
git,git,NOUN,NN,dobj,True,False,False,2,[u'functionapp deployment source config-local-git', u'webapp deployment source config-local-git']
batchai,batchai,ADJ,JJ,compound,True,False,True,42,[u'batchai cluster', u'batchai job list']
elastic,elastic,ADJ,JJ,amod,True,False,False,11,[u'sql elastic-pool create', u'sql elastic-pool op']
waf,waf,NOUN,NN,compound,True,False,False,4,[u'network application-gateway waf-config set', u'network application-gateway waf-config']
durability,durability,NOUN,NN,ROOT,True,False,False,2,[u'sf cluster durability', u'sf cluster durability update']
transform,transform,NOUN,NN,ROOT,True,False,False,9,[u'ams transform list', u'ams transform']
submit,submit,VERB,VBP,ROOT,True,False,False,1,[u'dla job submit']
custom,custom,NOUN,NN,compound,True,False,False,13,[u'cdn custom-domain delete', u'cdn custom-domain enable-https']
start,start,NOUN,NN,ROOT,True,False,False,18,[u'storage file copy start', u'functionapp start']
zip,zip,NOUN,NN,ROOT,True,False,False,2,[u'webapp deployment source config-zip', u'functionapp deployment source config-zip']
complete,complete,ADJ,JJ,acomp,True,False,False,1,[u'iot device message complete']
offer,offer,VERB,VBZ,ROOT,True,False,False,1,[u'vm image list-offers']
link,link,VERB,VBN,amod,True,False,False,14,[u'iot dps linked-hub delete', u'sql db replica delete-link']
untag,untag,NOUN,NN,ROOT,True,False,False,1,[u'acr repository untag']
reset,reset,NOUN,NN,ROOT,True,False,False,10,[u'batch job reset', u'ad sp credential reset']
compute,compute,NOUN,NN,compound,True,False,False,6,[u'dla account compute-policy show', u'dla account compute-policy']
default,default,NOUN,NN,compound,True,False,False,4,[u'keyvault certificate get-default-policy', u'vm diagnostics get-default-config']
record,record,NOUN,NN,compound,True,False,False,94,[u'network dns record-set ptr create', u'network dns record-set cname create']
dms,dms,NOUN,NN,compound,True,False,False,24,[u'dms project task show', u'dms project']
verification,verification,NOUN,NN,compound,True,False,False,2,[u'iot hub certificate generate-verification-code', u'iot dps certificate generate-verification-code']
delete,delete,ADJ,JJ,ROOT,True,False,False,255,[u'network lb address-pool delete', u'acr replication delete']
marketplace,marketplace,NOUN,NN,compound,True,False,False,2,[u'consumption marketplace list', u'consumption marketplace']
ad,ad,NOUN,NN,compound,True,False,False,38,[u'ad group member', u'ad group create']
ak,ak,NOUN,NNS,compound,True,False,False,11,[u'aks list', u'aks get-upgrades']
statistic,statistic,NOUN,NNS,dobj,True,False,False,4,[u'batch job all-statistics', u'batch job all-statistics show']
am,am,NOUN,NNS,nsubj,True,False,False,11,[u'ams transform', u'ams transform output']
watcher,watcher,NOUN,NN,compound,True,False,False,29,[u'network watcher packet-capture stop', u'network watcher troubleshooting']
ddos,ddos,NOUN,NN,compound,True,False,False,6,[u'network ddos-protection show', u'network ddos-protection list']
replica,replica,NOUN,NN,nsubj,True,False,False,5,[u'sql db replica delete-link', u'sql db replica create']
exist,exist,VERB,VBZ,ROOT,True,False,False,16,[u'servicebus namespace exists', u'eventhubs namespace exists']
file,file,NOUN,NN,nsubj,True,False,False,44,[u'storage file generate-sas', u'storage file copy start']
timezone,timezone,NOUN,NNS,dobj,True,False,False,1,[u'monitor autoscale profile list-timezones']
check,check,NOUN,NN,ROOT,True,False,False,11,[u'network vnet check-ip-address', u'dms check-status']
storage,storage,NOUN,NN,compound,True,False,False,190,[u'storage queue metadata update', u'storage blob show']
detail,detail,NOUN,NN,ROOT,True,False,False,2,[u'consumption reservation detail', u'consumption reservation detail list']
application,application,NOUN,NN,compound,True,False,False,107,[u'network application-gateway waf-config set', u'batch application']
setting,setting,NOUN,NNS,compound,True,False,False,25,[u'monitor diagnostic-settings categories', u'batch node remote-login-settings']
role,role,NOUN,NN,compound,True,False,False,11,[u'role definition list', u'role definition update']
nat,nat,NOUN,NN,compound,True,False,False,15,[u'network lb inbound-nat-rule list', u'network lb inbound-nat-pool']
test,test,NOUN,NN,ROOT,True,False,False,3,[u'dls fs test', u'network watcher test-connectivity']
ns,ns,PRON,PRP,intj,True,False,False,8,[u'network dns record-set ns create', u'network dns record-set ns remove-record']
node,node,NOUN,NN,compound,True,False,False,41,[u'sf cluster node-type add', u'batch node remote-desktop']
category,category,NOUN,NNS,dobj,True,False,False,4,[u'monitor diagnostic-settings categories', u'monitor activity-log list-categories']
stat,stat,NOUN,NNS,ROOT,True,False,False,8,[u'storage share stats', u'storage queue stats']
update,update,NOUN,NN,ROOT,True,False,False,169,[u'storage queue metadata update', u'iot dps update']
sql,sql,NOUN,NN,compound,True,False,False,108,[u'sql midb delete', u'sql server dns-alias']
rolling,rolling,ADJ,JJ,amod,True,False,False,4,[u'vmss rolling-upgrade cancel', u'vmss rolling-upgrade start']
reservation,reservation,NOUN,NNS,compound,True,False,False,32,[u'reservations catalog', u'reservations catalog show']
pool,pool,NOUN,NN,nsubj,True,False,False,53,[u'network lb address-pool delete', u'batch pool autoscale evaluate']
unbind,unbind,NOUN,NN,dobj,True,False,False,2,[u'webapp config ssl unbind', u'functionapp config ssl unbind']
remote,remote,ADJ,JJ,amod,True,False,False,4,[u'batch node remote-desktop', u'batch node remote-login-settings']
rule,rule,NOUN,NN,nsubj,True,False,False,132,[u'network nsg rule delete', u'servicebus topic authorization-rule create']
directory,directory,NOUN,NN,nsubj,True,False,False,9,[u'storage directory create', u'storage directory list']
receive,receive,ADJ,JJ,ccomp,True,False,False,1,[u'iot device message receive']
