storage-file-upload,96986070
storage-blob-upload,12488179
login,8991549
storage-blob-download,5193513
group-list,4830820
storage-file-delete,4802792
storage-file-download,4480703
storage-blob-downloadbatch,4316350
storage-directory-create,4134869
executeunknowncommand,3512546
storage-blob-delete,3331240
vm-show,3313089
monitor-metrics-list,2897737
storage-blob-settier,2895780
account-set,2192260
storage-blob-exists,2153166
storage-message-put,1924439
vm-list,1719415
logout,1285186
resource-show,1210929
vm-update,1143554
vm-getinstanceview,1133959
network-nic-show,1020368
storage-blob-show,1018411
network-nsg-list,1016238
keyvault-secret-show,970358
storage-blob-list,963671
batch-node-list,943688
storage-directory-delete,863596
monitor-alert-listincidents,842151
storage-directory-exists,836312
batch-account-keys-list,835579
storage-blob-lease-renew,822400
vm-listusage,751046
account-list,701002
storage-blob-uploadbatch,650942
dls-fs-upload,613653
acr-repository-delete,578542
batch-node-remoteloginsettings-show,524525
group-delete,516029
sql-db-listusages,509554
network-routetable-show,498243
storage-container-create,469357
batch-pool-list,463358
cloud-set,455143
batch-account-show,442100
batch-node-user-create,420293
keyvault-secret-download,414106
account-getaccesstoken,411689
storage-account-showconnectionstring,375398
group-create,346917
acr-list,325676
acr-repository-showtags,323577
resource-list,322641
acr-repository-showmanifests,320006
account-show,308142
acr-login,304675
network-nic-ipconfig-delete,302252
storage-entity-query,283303
acr-repository-list,280217
dls-fs-download,279595
acr-credential-show,251997
storage-entity-delete,251901
acr-update,246346
vmss-nic-listvmnics,242724
acr-credential-renew,240987
network-routetable-route-update,234461
storage-entity-insert,233622
storage-account-list,224398
webapp-show,219809
batch-task-create,215842
group-show,215482
group-deployment-create,212692
network-listusages,212122
storage-blob-metadata-show,204357
dls-fs-list,198480
acr-webhook-getconfig,192102
vmss-listinstances,191433
acr-create,176492
network-publicip-show,167370
storage-account-keys-list,164656
acr-show,163131
acr-checkname,154322
vm-listipaddresses,149084
batch-account-list,148480
account-clear,146993
vm-restart,138065
vm-create,133677
sql-server-list,130686
acr-repository-update,130653
acr-repository-untag,130328
aks-getcredentials,127516
storage-blob-copy-start,127041
network-routetable-list,119290
sql-db-list,117699
vm-encryption-show,117589
snapshot-update,115096
backup-job-list,113381
vm-start,113195
container-show,112012
network-nic-ipconfig-show,111562
storage-file-list,107301
group-exists,105911
ml-computetarget-attach-remote,105573
acr-webhook-listevents,103345
acr-webhook-show,96920
acr-showusage,96671
storage-container-show,96470
acr-webhook-create,96295
monitor-activitylog-list,96263
acr-webhook-ping,96110
acr-webhook-delete,95931
acr-webhook-list,95595
acr-webhook-update,95248
vm-deallocate,93332
vmss-listinstanceconnectioninfo,91861
vm-delete,90848
ml-project-attach,86521
batch-account-login,80557
role-assignment-create,79076
ml-computetarget-attach-remotedocker,78459
storage-account-show,75160
monitor-activitylog-alert-list,73425
provider-register,70378
aks-browse,69568
acr-repository-show,67990
acr-buildtask-listbuilds,66493
storage-container-exists,65598
lab-vm-list,64882
vm-nic-show,64541
ml-computetarget-attach-cluster,63865
acr-build,63641
ml-run-submit,63214
sql-server-show,60515
ml-computetarget-attach-batchai,58976
dls-fs-access-setentry,58697
group-deployment-delete,58509
cloud-register,57642
configure,56911
batch-pool-create,56782
aks-list,56098
storage-file-show,54556
vmss-nic-list,54451
eventgrid-eventsubscription-create,53607
network-nsg-rule-create,52170
keyvault-secret-set,52102
snapshot-create,50967
mysql-serverlogs-list,50548
iot-hub-showstats,50343
iot-hub-showquotametrics,50147
aks-show,49408
network-nic-delete,49406
disk-delete,48634
storage-container-list,47292
acr-buildtask-logs,47278
storage-message-get,46948
aks-installcli,46695
storage-blob-snapshot,46418
dls-fs-move,46128
acr-buildtask-run,45186
az,44867
snapshot-list,44382
network-publicip-delete,44111
sql-db-show,43322
storage-file-uploadbatch,42777
cosmosdb-collection-update,41954
network-dns-zone-list,41608
ml-env-show,41027
storage-share-snapshot,40446
vm-image-list,40078
network-publicip-list,39939
network-publicip-create,39035
network-vpnconnection-show,38139
backup-item-show,37537
storage-account-create,37512
aks-create,37152
network-nsg-delete,37127
batch-node-delete,37018
vm-extension-set,36224
network-nic-create,35700
dls-fs-delete,35644
keyvault-list,35573
acr-buildtask-list,34355
vmss-getinstanceview,34175
group-deployment-validate,32121
monitor-logprofiles-list,31970
network-publicip-update,31795
keyvault-secret-list,31396
vm-extension-list,31256
webapp-config-appsettings-set,30951
network-vnet-show,30919
webapp-deployment-listpublishingprofiles,30743
group-deployment-show,30149
cloud-show,29856
resource-delete,29808
extension-add,29747
network-nic-list,28608
network-applicationgateway-show,28294
vm-nic-list,28210
snapshot-delete,27875
network-dns-recordset-list,27438
disk-list,27103
storage-container-generatesas,27079
network-vnet-create,26819
group-deployment-operation-list,26800
network-dns-recordset-aaaa-show,26773
network-dns-recordset-a-addrecord,26340
ml-workspace-create,26005
network-nic-ipconfig-create,25843
group-update,25807
storage-blob-deletebatch,25459
resource-tag,25389
batch-pool-resize,25238
network-dns-recordset-a-delete,25033
network-dns-zone-export,24975
storage-message-peek,24705
storage-message-delete,24632
webapp-list,23869
acr-buildtask-create,23123
acr-buildtask-show,22784
ml,22700
acr-buildtask-update,22626
acr-buildtask-delete,22599
network-vnet-list,22505
network-vnet-subnet-update,22498
ad-group-member-list,22373
aks-delete,22036
role-assignment-list,21967
storage-share-show,21967
storage-share-stats,21942
vmss-show,21939
ad-sp-createforrbac,21558
disk-create,21555
functionapp-list,21472
container-create,21219
role-definition-list,21082
aks,20989
postgres-serverlogs-list,20637
storage-container-delete,20426
network-lb-list,19916
cosmosdb-collection-exists,19741
webapp-stop,19618
sql-db-replica-listlinks,19506
storage-entity-show,19196
dls-fs-create,19194
acr,19069
,19009
acs-kubernetes-getcredentials,18729
storage-share-list,18642
network-vnet-subnet-show,18410
vmss-list,18302
network-nic-ipconfig-update,18077
webapp-create,18055
image-list,17693
lock-list,17522
storage-blob-generatesas,16927
webapp-start,16710
provider-show,16197
webapp-deployment-source-configzip,16126
appservice-plan-show,15934
storage-file-deletebatch,15923
iot-hub-deviceidentity-create,15734
ml-run-prepare,15688
batchai-job-delete,15657
network-watcher-list,15535
storage-directory-metadata-show,15346
container-logs,15304
network-dns-recordset-a-show,15202
redis-show,15131
group-deployment-wait,15050
group-deployment-list,15030
aks-scale,14540
network-vnet-subnet-create,14414
ad-sp-list,14408
image-create,14317
storage-share-create,13865
network-routetable-route-list,13439
extension-remove,13431
vm-stop,13423
ad-user-list,13298
postgres-serverlogs-download,13239
network-lb-show,12833
backup-vault-list,12641
network-dns-recordset-txt-addrecord,12166
ml-history-info,12030
ml-history-last,11945
network-dns-recordset-txt-delete,11885
storage-blob-url,11877
network-dns-recordset-a-create,11647
acs-create,11584
batchai-job-list,11377
vmss-nic-show,11375
ad-sp-show,11261
vm-disk-attach,11059
storage-queue-create,11051
functionapp-show,10957
sql-server-firewallrule-create,10669
ml-history-runs,10621
webapp-deployment-slot-swap,10516
iot-hub-devicetwin-update,10477
appservice-plan-create,10397
network-nsg-create,10393
dms-project-task-show,10268
acr-delete,10228
resource-update,10148
vm-openport,9872
ad-group-list,9694
vmss-listinstancepublicips,9667
storage-container-setpermission,9319
ad-app-list,9315
ml-run-clean,9119
network-vnet-subnet-list,8926
vm-runcommand-invoke,8866
image-show,8854
sql-db-create,8818
container-list,8736
hanainstance-list,8686
container-delete,8595
hanainstance-show,8455
network-nsg-rule-update,8450
functionapp-config-appsettings-set,8378
storage-file-downloadbatch,8242
backup-job-show,8229
vm-listsizes,8189
sql-db-delete,7960
network-dns-recordset-a-update,7942
webapp-config-appsettings-list,7892
acs-show,7816
functionapp-deployment-source-configzip,7710
servicebus-topic-subscription-show,7685
vm-availabilityset-create,7681
storage-table-create,7443
ml-service-list-realtime,7399
cloud-list,7280
network-lb-rule-create,7155
network-nsg-show,7136
disk-show,6945
ml-service-create-realtime,6916
lock-create,6890
aks-upgrade,6849
network-vnet-delete,6753
vm-unmanageddisk-list,6736
ad-user-create,6733
dls-fs-test,6522
sql-elasticpool-show,6474
storage-share-delete,6455
extension-list,6390
network-applicationgateway-showbackendhealth,6307
ml-experiment-submit,6282
network-dns-recordset-cname-setrecord,6152
network-routetable-route-create,6120
monitor-diagnosticsettings-list,6019
servicebus-queue-list,6003
webapp-config-show,5986
snapshot-show,5853
account-listlocations,5811
storage-account-generatesas,5714
keyvault-setpolicy,5713
servicebus-queue-authorizationrule-keys-list,5642
keyvault-key-list,5593
provider-list,5457
network-trafficmanager-profile-list,5439
ml-history-download,5333
sql-db-export,5332
vm-generalize,5238
ad-group-member-add,5217
ml-computetarget-list,5154
storage-blob-update,5122
acs-list,5116
ml-env-setup,5018
batchai-job-create,4962
network-nsg-rule-show,4940
ad-group-show,4929
keyvault-create,4915
servicebus-topic-authorizationrule-keys-list,4862
ml-workspace-list,4845
storage-blob-metadata-update,4820
keyvault-certificate-create,4747
webapp-config-set,4724
network-dns-zone-import,4705
keyvault-show,4659
ml-model-register,4655
network-lb-probe-create,4620
ml-model-show,4589
vm-availabilityset-show,4491
backup-item-list,4478
network-nic-ipconfig-list,4470
network-nsg-rule-list,4419
cdn-endpoint-purge,4416
webapp-deployment-user-set,4339
cosmosdb-listkeys,4319
monitor-diagnosticsettings-create,4280
vm-user-update,4278
sql-db-tde-show,4265
network-nsg-rule-delete,4201
batch-task-list,4185
sql-dw-show,4163
iot-hub-deviceidentity-showconnectionstring,4151
redis-listkeys,4115
cosmosdb-database-exists,4055
monitor-alert-delete,4048
backup-container-list,4001
batchai-cluster-show,3995
appservice-plan-list,3925
network-dns-recordset-a-removerecord,3917
ml-image-create,3879
webapp-config-connectionstring-set,3777
vm-encryption-enable,3716
cosmosdb-collection-create,3708
ml-service-show-realtime,3686
ml-model-list,3665
ad-app-show,3650
ml-service-keys-realtime,3649
sql-server-firewallrule-delete,3629
network-lb-frontendip-list,3624
backup-policy-listassociateditems,3611
network-nic-update,3596
webapp-deployment-slot-create,3571
ad-user-show,3529
ad-group-member-check,3516
sql-elasticpool-listdbs,3508
storage-account-checkname,3461
sql-db-threatpolicy-show,3444
iot-hub-show,3424
backup-policy-list,3419
tag-list,3408
servicebus-topic-subscription-list,3401
ml-history-list,3392
servicebus-namespace-list,3348
ml-workspace-show,3336
network-trafficmanager-profile-show,3274
ml-service-delete-realtime,3272
vmss-deleteinstances,3261
functionapp-create,3193
ml-manifest-create,3149
account,3107
mesh-deployment-create,3078
postgres-server-firewallrule-create,3068
sql-elasticpool-listeditions,3057
vmss-create,3057
ad-sp-delete,3037
webapp-log-tail,3030
vm-disk-detach,3008
lab-vm-stop,2988
network-lb-create,2984
webapp-deployment-source-configlocalgit,2980
webapp-config-container-set,2978
sql-elasticpool-list,2967
image-delete,2898
keyvault-certificate-download,2879
ml-image-list,2844
interactive,2841
acs-kubernetes-installcli,2839
vm-resize,2839
webapp-up,2824
vm-listskus,2804
lock-delete,2800
ml-env-set,2799
sql-db-copy,2799
container-attach,2784
network-lb-addresspool-show,2723
storage-blob-copy-startbatch,2695
ml-image-show,2666
monitor-alert-create,2664
storage-account-update,2662
vm-availabilityset-list,2662
container-exec,2643
vm-extension-delete,2630
batch-account-create,2585
storage-queue-exists,2559
vm,2551
feature-show,2531
network-dns-recordset-cname-list,2528
sql-db-threatpolicy-update,2512
ad-sp-credential-reset,2457
functionapp-deployment-listpublishingprofiles,2431
storage-cors-list,2417
iot-hub-list,2406
webapp-restart,2387
network-vnet-checkipaddress,2381
ml-manifest-show,2376
ad-app-create,2353
storage-directory-list,2346
iot-hub-deviceidentity-delete,2343
ml-manifest-list,2339
ml-workspace-delete,2335
group,2334
storage-account-delete,2332
sql-db-showconnectionstring,2320
network-vnet-peering-create,2315
extension-show,2300
network-nic-ipconfig-addresspool-add,2285
ml-account-modelmanagement-set,2213
network-lb-delete,2212
storage-container-lease-acquire,2199
webapp-delete,2192
cosmosdb-collection-list,2120
cloud-update,2114
servicebus-queue-delete,2107
network-applicationgateway-list,2063
lab-vm-start,2047
extension-listavailable,2034
vm-wait,2023
keyvault-secret-delete,2010
lab-vm-delete,1994
iot-hub-showconnectionstring,1991
vmss-scale,1980
network-dns-zone-create,1971
webapp-config-hostname-add,1957
sql-server-create,1953
sql-server-firewallrule-update,1951
vmss-update,1937
network-dns-recordset-ns-addrecord,1908
servicebus-queue-authorizationrule-list,1902
snapshot-grantaccess,1901
monitor-activitylog-alert-create,1897
webapp-deployment-slot-delete,1887
group-export,1870
role-definition-create,1854
iot-hub-deviceidentity-list,1835
resource-move,1831
servicebus-topic-authorizationrule-list,1814
storage-file-url,1813
sql-db-update,1794
webapp-deployment-slot-list,1788
lab-customimage-show,1760
webapp,1755
webapp-config-connectionstring-list,1750
mysql-server-show,1710
storage-table-delete,1697
policy-assignment-create,1695
redis-list,1680
mysql-server-firewallrule-create,1676
monitor-logprofiles-create,1665
storage-queue-delete,1659
ml-project-show,1614
monitor-alert-list,1607
network-vnet-peering-show,1585
ml-admin-node-stop,1580
storage-container-policy-create,1571
ml-service-run-realtime,1565
ml-history-delete,1551
webapp-deployment-source-show,1548
ml-project-detach,1528
storage-share-generatesas,1523
cosmosdb-database-create,1520
aks-usedevspaces,1513
policy-setdefinition-create,1504
servicebus-topic-subscription-delete,1493
sql-db-import,1489
cosmosdb-collection-show,1486
cosmosdb-list,1467
vm-unmanageddisk-attach,1450
backup-protection-enableforvm,1436
keyvault-certificate-show,1436
eventhubs-eventhub-create,1425
storage,1424
storage-account-networkrule-add,1418
cosmosdb-show,1399
keyvault-secret-setattributes,1385
role-assignment-delete,1377
webapp-config-ssl-bind,1374
vmss-extension-set,1365
webapp-update,1350
sql-server-firewallrule-list,1349
dls-fs-show,1348
sql-db-auditpolicy-show,1348
ml-service-update-realtime,1344
ml-env-list,1331
iot-hub-applyconfiguration,1328
webapp-listruntimes,1323
network-dns-zone-show,1315
cosmosdb-create,1314
ml-admin-node-setup,1306
aks-getversions,1300
acs-kubernetes-browse,1299
ad-app-update,1295
batchai-cluster-list,1293
ad-group-create,1285
cognitiveservices-account-keys-list,1285
vm-user-resetssh,1278
cosmosdb-listconnectionstrings,1269
policy-definition-create,1269
mesh-app-list,1258
ad-sp-create,1254
keyvault-key-show,1251
servicebus-topic-list,1241
vm-bootdiagnostics-enable,1235
identity-create,1231
ad-app-delete,1208
keyvault-key-create,1206
batch-pool-delete,1193
network-lb-rule-list,1192
monitor-alert-show,1185
network-lb-inboundnatrule-create,1172
storage-table-list,1170
iot-hub-create,1153
ad-sp,1149
vm-image-listskus,1132
network-trafficmanager-endpoint-create,1131
monitor-autoscalesettings-show,1126
ml-experiment-prepare,1124
aks-getupgrades,1113
ml-account-modelmanagement-create,1112
batchai-job-file-stream,1110
network,1087
network-routetable-create,1078
webapp-config-appsettings-delete,1073
eventhubs-eventhub-delete,1068
iot-hub-deviceidentity-show,1067
servicebus-topic-subscription-rule-update,1055
ml-admin-bootstrap,1053
vm-extension-image-list,1053
storage-file-exists,1050
network-applicationgateway-addresspool-create,1049
vm-extension-show,1046
mysql-server-configuration-set,1040
webapp-config-ssl-upload,1036
keyvault-certificate-list,1030
mesh-app-show,1021
monitor-actiongroup-create,1017
network-lb-frontendip-create,1017
iot-device-showconnectionstring,1013
eventhubs-eventhub-consumergroup-create,1011
mysql-server-create,1007
role-definition-update,1003
